dbms,sf,query_id,threads,repetitions,mean_wall_s,median_wall_s,p95_wall_s,p99_wall_s,mean_throughput_qps,median_throughput_qps,total_success,total_errors,cache_before_failures,cache_after_failures,wall_speedup,throughput_speedup,efficiency,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,14,4,5,12.775410082800226,12.573565604001487,13.884952835600416,14.023269990320841,0.3142168637706638,0.3181277392569547,20,0,0,0,1.1356261453346335,4.530915462116461,1.1327288655291152,20.0,12.753681221000079,12.551214047500252,14.037239253099324,14.03745281462041,0.7937762352617435,11.940943854002398,14.037506205000682,1.0
mysql,1.0,14,8,5,11.530366281399619,11.4748531059995,11.698332184598986,11.721447504118405,0.6938858213748273,0.6971766807034147,40,0,0,0,1.2582505493172034,10.005631013188518,1.2507038766485647,40.0,11.487059521575157,11.42753421099951,11.690626018299374,11.700517725231476,0.114616953516298,11.362009643999045,11.702000015000522,1.0
mysql,1.0,14,16,5,12.779505530200549,12.79838161799853,12.956101180002587,12.966764049602933,1.2521687182487267,1.2501580651024653,80,0,0,0,1.135262211289325,18.05590743478548,1.1284942146740926,80.0,12.680757221375007,12.701195146999453,12.903409620052479,12.907155872338773,0.16154304141662532,12.408387114002837,12.907857829999555,1.0
mysql,1.0,15,1,5,0.02132509759903764,0.0199410159984836,0.02471905920028798,0.025214076640695516,47.3731597920147,50.14789617921386,5,0,0,0,1.0,1.0,1.0,5.0,0.009836165200249481,0.0082079999992856,0.013569475198892119,0.014050930238590744,0.002802639282993051,0.0076147540021338,0.0141712939985154,0.0
mysql,1.0,15,4,5,0.029637687599460998,0.0299150899991218,0.0300536393981019,0.03006642147796806,33.748169410265504,33.42794556290337,5,15,0,0,0.7195263641089686,0.7123900866742301,0.17809752166855752,5.0,0.009028447599848699,0.009087113001442,0.00950753679935586,0.009517094559560051,0.0005021531241141087,0.0083178669992776,0.0095194839996111,0.0
mysql,1.0,15,8,5,42.0931912077991,52.58226633699815,52.78478297959882,52.823520877518895,4.342694907491803,0.0190178185472461,5,35,0,0,0.0005066163193416062,0.09166994404759582,0.011458743005949477,5.0,0.01164497479985578,0.0122377640000195,0.01244090579857576,0.012463172358111391,0.0012763404693929058,0.0094090509992383,0.0124687389979953,0.0
mysql,1.0,15,16,5,52.28616243239958,52.45462100000077,52.494999466001175,52.5022066180018,0.01912588862329758,0.0190640973270969,5,75,0,0,0.00040785356214674795,0.0004037283708172971,2.523302317608107e-05,5.0,0.0129840716013859,0.013112620999891,0.01356535560262268,0.013602415922650777,0.0006327191410881256,0.0119776530009403,0.0136116810026578,0.0
mysql,1.0,16,1,5,3.7801519709995772,3.716256075000274,4.602402484398044,4.707115808077797,0.27128630503318774,0.2690880229506053,5,0,0,0,1.0,1.0,1.0,5.0,3.7682313095996505,3.7041159060026985,4.590461996399244,4.695162708079588,0.672672642659914,2.9475950359992567,4.721337885999674,18294.0
mysql,1.0,16,4,5,2.6185409950005125,2.5509363259989186,3.222307565601659,3.302698505121516,1.5659173232380401,1.568051683310301,20,0,0,0,1.443610001988469,5.772194519905729,1.4430486299764322,20.0,2.5922055638497112,2.523972420998689,3.2992750675519344,3.300717099911126,0.4340834744236926,2.1168158759974176,3.301077608000924,18294.0
mysql,1.0,16,8,5,3.7475510471987947,3.733216349999566,3.8258747543979554,3.8284139116780715,2.1353822067933335,2.1429242910073856,40,0,0,0,1.008699260767949,7.871323274251172,0.9839154092813965,40.0,3.6829973455747678,3.6816110759991716,3.7873150887005975,3.793160866341423,0.0770352517773752,3.4822896419973404,3.793895195001824,18294.0
