dbms,sf,query_id,duration_seconds,threads,repetitions,mean_wall_s,total_executions,total_success,total_errors,mean_throughput_qps,median_throughput_qps,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
postgres,1.0,8,120,1,1,120.57292002099985,199,199,0,1.6504535177993591,1.6504535177993591,199.0,0.5773553397537846,0.576180306000424,0.5922201917000166,0.5981670459601719,0.005697246213903852,0.5694903720000184,0.6021034210002654,2.0
postgres,1.0,9,120,1,1,120.1460732659998,68,68,0,0.5659777148891919,0.5659777148891919,68.0,1.7374538959411372,1.7443682150001223,1.7646537398500413,1.7747852436101128,0.020177320704332948,1.7012177749998043,1.7815058239998507,175.0
postgres,1.0,10,120,1,1,120.71503619500028,162,162,0,1.3420034910838197,1.3420034910838197,162.0,0.7148909594629604,0.7099103015002584,0.7410556914002655,0.7473456978500326,0.01484270073331895,0.6954608440000811,0.7581681489996299,38263.0
postgres,1.0,11,120,1,1,120.07969869700035,1247,1247,0,10.384769561644063,10.384769561644063,1247.0,0.06796189051965407,0.0675336420003986,0.07102903649970352,0.0747730883198892,0.002907261295092297,0.0652176990001862,0.1451049180000154,979.0
postgres,1.0,12,120,1,1,120.37108572299984,187,187,0,1.5535292290237197,1.5535292290237197,187.0,0.6144083517486417,0.6133029539996642,0.6260617399999773,0.6335035428399988,0.005178401823442646,0.6063541769999574,0.6352669249999963,2.0
postgres,1.0,13,120,1,1,120.09540714700006,192,192,0,1.5987289152947102,1.5987289152947102,192.0,0.5969640518958338,0.597209295500079,0.6170530828498385,0.6311333677501262,0.01375141010743594,0.5648151899999903,0.6454217450000215,41.0
postgres,1.0,14,120,1,1,120.06381041899976,508,508,0,4.23108343994062,4.23108343994062,508.0,0.2081206733405559,0.20770728999991656,0.210558165900079,0.22166882261996299,0.0024085614082407832,0.2050679499998295,0.2272276789999523,1.0
postgres,1.0,15,120,1,1,120.67527579299986,166,166,0,1.375592464232258,1.375592464232258,166.0,0.6752433161265021,0.6717974099999537,0.6923104995000813,0.7017911038000647,0.01203226201110632,0.6589725260000705,0.7087874210001246,0.0
postgres,1.0,16,120,1,1,120.2862894799996,358,358,0,2.976232798830542,2.976232798830542,358.0,0.3072701170838159,0.30669659400018645,0.3176087328502035,0.3275831037602347,0.005780166197331488,0.2928029849999802,0.3352689699995608,18294.0
postgres,1.0,17,120,1,1,120.33390077900005,140,140,0,1.1634294167619303,1.1634294167619303,140.0,0.8307850694356927,0.8299824964997242,0.843336822549827,0.8517196460001196,0.006041948441404528,0.8176749490003203,0.8540043719995083,1.0
postgres,1.0,18,120,1,1,122.13254419899933,43,43,0,0.3520765106631777,0.3520765106631777,43.0,2.8098796449301644,2.82241479699951,2.856608155599679,2.8753562721600066,0.04997986918201756,2.6443129600002067,2.8856018790002054,9.0
postgres,1.0,19,120,1,1,120.07908198699988,1883,1883,0,15.681332408952454,15.681332408952454,1883.0,0.03601486273712658,0.0358509799998501,0.03736093390007221,0.04016200314046727,0.0012108500095402283,0.0343116699996244,0.0562392350002483,1.0
postgres,1.0,20,120,1,1,120.30700697200064,172,172,0,1.4296756633637309,1.4296756633637309,172.0,0.6701030153546611,0.6698755454999628,0.6781623366498479,0.6836270687003707,0.00487840969421981,0.6573591740007032,0.6858693969998058,162.0
postgres,1.0,21,120,1,1,120.9995263589999,95,95,0,0.7851270402343515,0.7851270402343515,95.0,1.2430779360000375,1.240308475999882,1.2736132642000484,1.2777004055604813,0.015537514368245131,1.2126193240001155,1.2861276240000734,377.0
postgres,1.0,22,120,1,1,120.05768785599956,1199,1199,0,9.98686565943293,9.98686565943293,1199.0,0.07174180115014536,0.0712669049999021,0.07394153429986544,0.07970215146016921,0.0018966995693100546,0.0698453850000078,0.0907480969999596,3.0
sqlserver,1.0,1,120,1,1,120.5402664400026,36,36,0,0.2986553876410962,0.2986553876410962,36.0,3.2693743499162844,3.2704164070000843,3.2806769669987266,3.281442553601482,0.008855613346162042,3.230214556999272,3.2814741950023745,4.0
sqlserver,1.0,2,120,1,1,120.15871226500168,262,262,0,2.1804494660543403,2.1804494660543403,262.0,0.3998477315763289,0.3974762060006469,0.4307447734499874,0.44208599116867836,0.014957474759862236,0.3708144140000513,0.4490619040007004,446.0
sqlserver,1.0,3,120,1,1,123.5827785170004,29,29,0,0.2346605275265815,0.2346605275265815,29.0,4.178887041102983,4.170504116002121,4.213507556801778,4.215845899361011,0.017714870572981423,4.160917005996453,4.216633508000086,11694.0
sqlserver,1.0,4,120,1,1,120.0699893810015,2159,0,2159,0.0,0.0,,,,,,,,,
sqlserver,1.0,5,120,1,1,120.05024344300182,2174,0,2174,0.0,0.0,,,,,,,,,
sqlserver,1.0,6,120,1,1,120.0349630699966,2203,0,2203,0.0,0.0,,,,,,,,,
sqlserver,1.0,7,120,1,1,120.94545518700032,44,44,0,0.3638003588639954,0.3638003588639954,44.0,2.6708417094770827,2.672232847000487,2.6848983083016718,2.6858320563190135,0.011411260942598561,2.6217452860000776,2.686445741997886,4.0
sqlserver,1.0,8,120,1,1,120.01180273900172,71,71,0,0.5916084783294923,0.5916084783294923,71.0,1.621238696282118,1.624053347000881,1.6390582865005854,1.6410961605015473,0.016168215988806346,1.5816225920025315,1.6428217200009383,2.0
sqlserver,1.0,9,120,1,1,120.18381498899907,27,27,0,0.2246558740248961,0.2246558740248961,27.0,4.369183190592594,4.369444377000036,4.377401310200367,4.39175112924153,0.00816869055056921,4.353117724000185,4.396595287002128,175.0
sqlserver,1.0,10,120,1,1,120.04522092700064,2207,0,2207,0.0,0.0,,,,,,,,,
sqlserver,1.0,11,120,1,1,120.457228346997,202,202,0,1.6769437813902337,1.6769437813902337,202.0,0.5363495781088798,0.539405767000062,0.5459636492490972,0.5499108958402575,0.011402792604313995,0.4941757660017174,0.5532635990020935,979.0
sqlserver,1.0,12,120,1,1,120.0676896019977,2205,0,2205,0.0,0.0,,,,,,,,,
sqlserver,1.0,13,120,1,1,120.0589875149999,153,153,0,1.2743735655848716,1.2743735655848716,153.0,0.7234140624049853,0.7285455819983326,0.7462664730017423,0.7484218247991521,0.01595245636430236,0.6929121890025272,0.7505314189984347,41.0
sqlserver,1.0,14,120,1,1,120.06890227799886,2212,0,2212,0.0,0.0,,,,,,,,,
sqlserver,1.0,15,120,1,1,120.02692425600252,2204,0,2204,0.0,0.0,,,,,,,,,
sqlserver,1.0,16,120,1,1,120.42156863700076,273,273,0,2.2670357402745043,2.2670357402745043,273.0,0.38356834605858886,0.3833151290018577,0.40432425699982555,0.4106570296794234,0.013045747534289906,0.3541090239996265,0.411771964001673,18294.0
sqlserver,1.0,17,120,1,1,120.15922420599964,89,89,0,0.740683876648699,0.740683876648699,89.0,1.284562681426701,1.283705521000229,1.2963765243999659,1.29774550375907,0.00819294570080751,1.2674205399998757,1.298295127999154,1.0
sqlserver,1.0,18,120,1,1,122.3380494539997,36,36,0,0.2942665847679413,0.2942665847679413,36.0,3.321604109694312,3.3188846465000097,3.335337307748887,3.337686627800758,0.0113281444033747,3.2842430460004834,3.33835425000143,9.0
sqlserver,1.0,19,120,1,1,120.58823308999854,35,35,0,0.2902439077441202,0.2902439077441202,35.0,3.3675381379712364,3.369117111000378,3.3839184870983448,3.387241841258874,0.013451996092930942,3.3297400459996425,3.388915987998189,1.0
sqlserver,1.0,20,120,1,1,120.04451950099974,2189,0,2189,0.0,0.0,,,,,,,,,
sqlserver,1.0,21,120,1,1,121.13984441399953,22,22,0,0.1816082900421619,0.1816082900421619,22.0,5.419640512727545,5.41769714450129,5.452535234749666,5.455837483430005,0.015731944435827473,5.3932746249993215,5.456635634000122,377.0
sqlserver,1.0,22,120,1,1,120.16911656899902,524,524,0,4.360521363233359,4.360521363233359,524.0,0.17180495994658024,0.1779504275000363,0.19423718135149098,0.1961283566593192,0.019682837406953053,0.1347211400025116,0.1975009070010855,3.0
