run_id,timestamp_utc,experiment,dbms,sf,query_id,duration_seconds,threads,wall_seconds,executions,success,errors,throughput_qps
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,12,120,1,120.02338076899468,2057,0,2057,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,13,120,1,120.13895573999616,151,151,0,1.2568779133289045
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,14,120,1,120.0535650360107,2059,0,2059,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,15,120,1,120.02452607700252,2043,0,2043,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,16,120,1,120.41713488999812,272,272,0,2.2588147463272055
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,17,120,1,120.45781505999912,89,89,0,0.7388478693198094
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,18,120,1,120.60170020100486,35,35,0,0.2902114973641837
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,19,120,1,120.7398434880015,35,35,0,0.28987945477565674
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,20,120,1,120.06297745699703,2069,0,2069,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,21,120,1,121.30101559399918,22,22,0,0.18136698932212691
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,22,120,1,120.16686566200224,502,502,0,4.177524288700297
